text,sentiment
Mediocre laptop. You get what you pay for.,neutral
This phone is okay. Does the job.,neutral
Fantastic order. Will definitely recommend to others.,positive
Fantastic movie. Will definitely recommend to others.,positive
This order made my day! I'm really satisfied.,positive
Mediocre order. You get what you pay for.,neutral
"It's a decent experience, works as intended.",neutral
Poor quality application and horrible customer support.,negative
Poor quality tool and horrible customer support.,negative
Fantastic device. Will definitely recommend to others.,positive
Fantastic service. Will definitely recommend to others.,positive
Very disappointed with this product. Not worth it.,negative
I absolutely love this product! It exceeded all my expectations.,positive
Worst headset I've ever bought. Totally useless.,negative
Mediocre device. You get what you pay for.,neutral
Fantastic car. Will definitely recommend to others.,positive
Worst product I've ever bought. Totally useless.,negative
"It's a decent vacuum, works as intended.",neutral
Poor quality purchase and horrible customer support.,negative
Impressive delivery — works perfectly and looks great.,positive
Worst service I've ever bought. Totally useless.,negative
Worst movie I've ever bought. Totally useless.,negative
I hate this movie. It's a complete waste of money.,negative
This phone made my day! I'm really satisfied.,positive
Impressive tool — works perfectly and looks great.,positive
This movie is neither good nor bad.,neutral
Fantastic car. Will definitely recommend to others.,positive
Impressive order — works perfectly and looks great.,positive
Fantastic vacuum. Will definitely recommend to others.,positive
Fantastic laptop. Will definitely recommend to others.,positive
Impressive camera — works perfectly and looks great.,positive
Mediocre software. You get what you pay for.,neutral
I hate this experience. It's a complete waste of money.,negative
Terrible laptop — broke within days of use.,negative
Average headset — nothing too exciting.,neutral
Average laptop — nothing too exciting.,neutral
Poor quality vacuum and horrible customer support.,negative
This software is okay. Does the job.,neutral
This software is okay. Does the job.,neutral
Average order — nothing too exciting.,neutral
Terrible product — broke within days of use.,negative
Average meal — nothing too exciting.,neutral
Superb software with outstanding quality and value.,positive
Superb order with outstanding quality and value.,positive
This movie is neither good nor bad.,neutral
Very disappointed with this car. Not worth it.,negative
Fantastic movie. Will definitely recommend to others.,positive
I hate this movie. It's a complete waste of money.,negative
Superb vacuum with outstanding quality and value.,positive
"It's a decent purchase, works as intended.",neutral
Poor quality order and horrible customer support.,negative
Worst meal I've ever bought. Totally useless.,negative
Very disappointed with this experience. Not worth it.,negative
Mediocre laptop. You get what you pay for.,neutral
Worst application I've ever bought. Totally useless.,negative
